id,created_time,creator_id,modified_time,modifier_id,is_deleted,name,group,path,is_exist,order_num,file_type,ext,status,searchable,filterable,quickSearch,active
89,2024-03-10 11:22:54.420127,1,2024-03-29 11:06:03.449938,1,0,97tvs,t4/files/drpy3_js,t4/files/drpy3_js/97tvs.js,True,83,.js,,1,0,0,0,True
90,2024-03-10 11:22:54.425029,1,2024-03-29 11:06:03.453660,1,0,aipanso,t4/files/drpy3_js,t4/files/drpy3_js/aipanso.js,True,84,.js,,1,0,0,0,True
91,2024-03-10 11:22:54.431043,1,2024-03-29 11:06:03.457268,1,0,alist,t4/files/drpy3_js,t4/files/drpy3_js/alist.json,True,85,.json,,1,0,0,0,True
92,2024-03-10 11:22:54.436023,1,2024-03-29 11:06:03.460821,1,0,banan,t4/files/drpy3_js,t4/files/drpy3_js/banan.js,True,86,.js,,1,0,0,0,True
93,2024-03-10 11:22:54.441055,1,2024-03-29 11:06:03.464327,1,0,cilixiong,t4/files/drpy3_js,t4/files/drpy3_js/cilixiong.js,True,87,.js,,1,0,0,0,True
94,2024-03-10 11:22:54.446128,1,2024-03-29 11:06:03.467524,1,0,cilixiongp,t4/files/drpy3_js,t4/files/drpy3_js/cilixiongp.js,True,88,.js,,1,0,0,0,True
95,2024-03-10 11:22:54.451334,1,2024-03-29 11:06:03.470529,1,0,ddys_d,t4/files/drpy3_js,t4/files/drpy3_js/ddys_d.js,True,89,.js,,1,0,0,0,True
96,2024-03-10 11:22:54.456638,1,2024-03-29 11:06:03.474094,1,0,dydhhy,t4/files/drpy3_js,t4/files/drpy3_js/dydhhy.js,True,90,.js,,1,0,0,0,True
97,2024-03-10 11:22:54.461295,1,2024-03-29 11:06:03.478153,1,0,dygang,t4/files/drpy3_js,t4/files/drpy3_js/dygang.js,True,91,.js,,1,0,0,0,True
98,2024-03-10 11:22:54.466196,1,2024-03-29 11:06:03.481546,1,0,funletu,t4/files/drpy3_js,t4/files/drpy3_js/funletu.js,True,92,.js,,1,0,0,0,True
99,2024-03-10 11:22:54.471919,1,2024-03-29 11:06:03.484466,1,0,huya,t4/files/drpy3_js,t4/files/drpy3_js/huya.js,True,93,.js,,1,0,0,0,True
100,2024-03-10 11:22:54.476378,1,2024-03-29 11:06:03.487388,1,0,jianpian,t4/files/drpy3_js,t4/files/drpy3_js/jianpian.js,True,94,.js,,1,0,0,0,True
101,2024-03-10 11:22:54.481020,1,2024-03-29 11:06:03.490942,1,0,jiyingw,t4/files/drpy3_js,t4/files/drpy3_js/jiyingw.js,True,95,.js,,1,0,0,0,True
102,2024-03-10 11:22:54.485559,1,2024-03-29 11:06:03.493751,1,0,jiyingwp,t4/files/drpy3_js,t4/files/drpy3_js/jiyingwp.js,True,96,.js,,1,0,0,0,True
